Restaurant Name,"Safe Pick (1 -- Yes, 0 -- No)"
LENWICH,0
Atoboy,0
Tim Ho Wan East Village,0
Tosokchon Restaurant NYC,0
Big Wong,0
PASTASOLE,0
C as in Charlie,0
MONO+MONO,0
Brooklyn Bagel & Coffee Company,0
LOS TACOS No 1,0
Electric Burrito,0
DORADO Tacos & Quesadillas,0
TUE THAI FOOD,0
Sashimi Express II,0
Tofu Story,0
Bangkok 2 Thai,0
Anytime Street St. Marks,0
Liu Liu Sheng Jian,0
Dunhuang Noodles,0
Cello's Pizzeria,0
Glaze Teriyaka,0
Angel,0
Chinese Tuxedo,0
Vert Frais,0
Okiboru House of Udon,0
Maxi's Noodle 3,0
Banh Mi Saigon,0
Thai for thought,0
Mista Oh,0
Darjeeling Kitchen & Cafe,0
Kelang,0
Bukhara Grill,0
Sao Mai,0
Court Square Diner,0
Ramen Ishida,0
DokoDemo,0
Queens Night Market,0
Farook Halal Food,0
Four Four,0
Her Name is Han,0
Little Ruby's,0
S'MAC,0
BCD Tofu House,0
Gotham Burger Social Club,0
Spicy Village,0
ME CHICKEN RICE,0
Summer Salt,0
Sathi,0
Wah Fung No. 1,0
99 Favor Taste,0
Nyonya,0
Hen House NYC,0
Salma,0
Kati Roll Company,0
West New Malaysia,0
South of the Clouds,0
886,0
Shu Jiao Fu Zhou,0
Urban Hawker,0
OBAO,0
Pocha 32,0
COQODAQ,0
Afternight BBQ,0
Seng Seafood,0
Prankhon,0
HOJOKBAN NYC,0
Ahgassi Gopchang NYC,0
Five Senses,0
CHILI,0
Jongro,0
uluh,0
Rule of Thirds,0
Ginger and Lemongrass,0
Vegan Grill Diner,0
Golden Lake Pavilion,0
Good Fortune,0
Gai Kitchen,0
Kat'z Delicatessen,0
UDON Lab,0
Populares,0
Bonchon,0
Pelican Chicken,0
Hou Yi Hot Pot,0
Curry House,0
Wok Wok,0
3 Times,0
Pommes Frites,0
Lanzhou Handmade Noodle,0
Gulp,0
The Bao,0
Cauldron Chicken,0
Pho Grand,0
COTE Flatiron,0
Two Hands,0
Let's Meat BBQ,0
Hungry Bowl Thai,0
Le Pecora Bianca NoMad,0
Sanmiwago,0
Marufuku Ramen,0
Sanuki Udon,0
LIC Food Hall,0
Bleecker Street Pizza,0
Lava Shawarma NYC,0
Prince Street Pizza,0
San Marzano,0
Kopitiam,0
Ho Foods,0
Eataly NYC,0
Tada,0
Artichoke Basille's Pizza,0
Kogane,0
Thai Villa,0
Go GO Curry,0
KENKA,0
Tonii's Fresh Rice Noodle,0
Sun Hing Lung,0
Silky Kitchen,0
Dim Sum Palace,0
Octo,0
Thai Market,0
Vanessa's Dumpling House,0
Empanada Mama LES,0
maman,0
Non La,0
Lao Ma Spicy,0
Chow House,0
Ootoya,0
Yumpling,0
Little Italy Pizza,0
Aria Wine Bar,0
Chongqing Lao Zao,0
Yu Xiang Yuan,0
Taiwan Pork Chop House,0
Kings Kitchen,0
Ippudo NY,0
Ivan Ramen,0
Teppen Ramen,0
Tofu Tofu,0
The Grey Dog,0
Bao by Kaya,0
Taiwan Bear House,0
Ramen Takumi,0
Spicy Moon,0
Kuu,0
Dim Sum Palace,0
