restaurant_id,name,neighborhood,cuisine,total_score,num_reviews,archetype,p_safe_pick,label_safe_pick
r_00480a,Nana's House Kitchen & Bar,Bushwick,Restaurant,4.7,50,Universally Loved,0.939,
r_4fe0c8,Nowon Bushwick,Bushwick,Korean,4.5,50,Universally Loved,0.896,
r_9e3baf,Ops,Bushwick,Pizza,4.6,50,Universally Loved,0.797,
r_5c282a,Otis,Bushwick,American,4.8,50,Universally Loved,0.94,
r_958d4f,Salud Bar & Grill,Bushwick,Restaurant,4.5,50,Universally Loved,0.953,
r_33b477,Santa Panza,Bushwick,Pizza,4.6,50,Universally Loved,0.898,
r_556c4e,Sea Wolf Brooklyn,Bushwick,Seafood,4.3,50,Universally Loved,0.705,
r_80dd98,Sobre Masa,Bushwick,Mexican,4.5,50,Tourist Trap,0.709,
r_3d605a,Sunrise/Sunset,Bushwick,Cafe,4.3,50,Universally Loved,0.871,
r_06cada,TORA NYC,Bushwick,Japanese,4.8,50,Universally Loved,0.943,
r_e17498,Tabaré Bushwick,Bushwick,American,4.7,50,Universally Loved,0.952,
r_3abbdf,Tabbouleh Cafe & restaurant,Bushwick,Mediterranean,4.8,50,Universally Loved,0.908,
r_5c7e81,The Monkey King,Bushwick,Restaurant,4.6,50,Universally Loved,0.765,
r_f7d58f,Tlacualli Breakfast,Bushwick,Brunch,4.8,50,Universally Loved,0.961,
r_7ace62,TriniJam Bk Roti Bar & Grill,Canarsie,Caribbean,4.6,50,Universally Loved,0.868,
r_d686b5,de Islands,Canarsie,Caribbean,4.1,50,Under the Radar,0.592,
r_4df787,"Amélie West Village Restaurant, Bistro & Wine Bar",Chelsea,French,4.5,50,Universally Loved,0.966,
r_fd7589,BARO + K SUSHI,Chelsea,Restaurant,4.9,50,Universally Loved,0.996,
r_12854e,Bar Primi Penn District,Chelsea,Pizza,4.3,50,Universally Loved,0.839,
r_1cdf3d,Jajaja Mexicana,Chelsea,Mexican,4.3,50,Tourist Trap,0.707,
r_cb6ff5,Ling Long Soup Dumplings 玲珑小笼包,Chelsea,Restaurant,4.7,50,Hidden Gem,0.99,
r_c47bb5,Mikado,Chelsea,Japanese,4.5,50,Universally Loved,0.877,
r_10c148,Nan Xiang Xiao Long Bao,Chelsea,Restaurant,4.7,50,Universally Loved,0.898,
r_9033c1,Taqueria by El Prieto NYC,Chelsea,Mexican,4.8,50,Hidden Gem,0.973,
r_2d9ae9,Whitmans,Chelsea,Burgers,4.3,50,Universally Loved,0.822,
r_1428cb,Myrtle Thai,Clinton Hill,Thai,4.8,50,Hidden Gem,0.976,
r_b3f956,Sisters,Clinton Hill,American,4.3,50,Tourist Trap,0.721,
r_68d62a,Darna Falafel,Cobble Hill,Mediterranean,4.6,50,Tourist Trap,0.73,
r_ec7974,Enerugi Ramen,Cobble Hill,Ramen,4.9,50,Tourist Trap,0.834,
r_87557d,RUA Thai - Thai Restaurant Brooklyn,Cobble Hill,Thai,4.8,50,Hidden Gem,0.994,
r_933ee6,Katana Sushi,Columbia Street Waterfront District,Japanese,4.7,50,Universally Loved,0.925,
r_4c80ea,Blazin Chicken & Gyro,Concourse,Burgers,4.8,50,Hidden Gem,0.947,
r_b355e7,Hard Rock Cafe,Concourse,American,4.4,50,Hidden Gem,0.938,
r_cea6d1,New Sunflower Restaurant,Concourse,Chinese,4.4,50,Hidden Gem,0.825,
r_07bc76,KPOT Korean BBQ & Hot Pot,Coney Island,Korean,4.8,50,Tourist Trap,0.705,
r_764684,NY Bread Inc,Coney Island,Bakery,4.6,50,Universally Loved,0.884,
r_3e58ae,Superior Deli And Grill,Corona,Deli,4.6,50,Hidden Gem,0.767,
r_251ff4,Blindenpete,Crown Heights,Caribbean,4.9,50,Hidden Gem,0.955,
r_ef0565,Boeuf & Bun,Crown Heights,Burgers,4.4,50,Universally Loved,0.873,
r_646fb1,Bou'ote,Crown Heights,Restaurant,4.6,50,Tourist Trap,0.852,
r_12b40d,Cafe Rue Dix,Crown Heights,Restaurant,4.4,50,Universally Loved,0.842,
r_9f910b,Cent'Anni,Crown Heights,Italian,4.3,50,Tourist Trap,0.588,
r_75466b,Colina Cuervo,Crown Heights,Diner,4.6,50,Tourist Trap,0.878,
r_e11e20,Cornbread Brooklyn,Crown Heights,Restaurant,4.7,50,Universally Loved,0.809,
r_c34b7e,Crown Heights Mozzarella,Crown Heights,Restaurant,4.7,50,Universally Loved,0.816,
r_b184ca,Dhania,Crown Heights,Indian,4.7,50,Hidden Gem,0.928,
r_603793,Don Udon,Crown Heights,Japanese,4.9,50,Universally Loved,0.96,
r_21efc5,German's Soup,Crown Heights,Deli,4.2,50,Universally Loved,0.736,
r_036f8b,Greyz Bistro,Crown Heights,Caribbean,4.8,50,Universally Loved,0.95,
r_966ea5,Holy Schnitzel,Crown Heights,Restaurant,4.9,50,Hidden Gem,0.974,
r_9d29ad,Joenise,Crown Heights,Restaurant,4.1,50,Universally Loved,0.735,
r_aafd46,Lakou Cafe,Crown Heights,Vegan,4.5,50,Universally Loved,0.927,
r_51ef19,Long Kin Thai Kitchen & Bar,Crown Heights,Thai,4.9,50,Hidden Gem,0.985,
r_d6f0dd,Mayfield,Crown Heights,Burgers,4.5,50,Tourist Trap,0.719,
r_174528,Peppa's Jerk Chicken,Crown Heights,Caribbean,3.6,50,Under the Radar,0.458,
r_b8dadc,Trinidad Golden Place,Crown Heights,Bakery,4.6,50,Universally Loved,0.899,
r_a6c9c7,WARUDE,Crown Heights,Japanese,4.7,50,Universally Loved,0.972,
r_b7178b,Hikaru Ramen House,Dongan Hills,Ramen,4.5,41,Hidden Gem,0.871,
r_a7e490,Trattoria Oliveto,Dongan Hills,Restaurant,4.7,50,Universally Loved,0.911,
r_22ee74,Simple Noodle见面,Douglaston,Restaurant,4.7,39,Universally Loved,0.926,
r_52c1ee,Teriyaki One Japanese Grill (Teriyaki & Sushi),Downtown Brooklyn,Japanese,4.7,50,Universally Loved,0.878,
r_07d472,Kinjo,Dumbo,Japanese,4.9,50,Universally Loved,0.972,
r_086018,Lucky Rabbit Noodles,Dumbo,Restaurant,4.7,50,Universally Loved,0.925,
r_ef3f12,Cavatappi NYC,Dyker Heights,Italian,4.7,50,Universally Loved,0.921,
r_e0b736,East Harbor Seafood Palace,Dyker Heights,Chinese,4.3,50,Universally Loved,0.775,
r_227b75,Fonda Garibaldi,Dyker Heights,Mexican,4.8,50,Universally Loved,0.969,
r_b22228,Mama Rao's,Dyker Heights,Italian,4.7,50,Universally Loved,0.931,
r_0e190e,Yi Poh Kitchen Asian Cuisine,Dyker Heights,Chinese,4.8,50,Hidden Gem,0.984,
r_2bfc37,Ajo y Oregano,East Bronx,Caribbean,4.2,50,Universally Loved,0.736,
r_6d90b1,Azal Restaurant & Hall,East Bronx,Restaurant,4.2,50,Hidden Gem,0.728,
r_1d5b81,CEA - LO Cafe,East Bronx,Restaurant,4.2,50,Universally Loved,0.704,
r_8b7664,Cap't Loui Whitestone Bronx,East Bronx,Seafood,4.8,50,Hidden Gem,0.962,
r_e02b3e,El Pabellon De Oro,East Bronx,Chinese,4.5,50,Universally Loved,0.799,
r_29fd30,Hook & Reel Cajun Seafood & Bar,East Bronx,Seafood,4.5,50,Hidden Gem,0.818,
r_655ce1,Jimmy's Grand Cafe,East Bronx,Brunch,4.4,50,Tourist Trap,0.856,
r_52255e,La Masa Restaurant Throggs Neck,East Bronx,Restaurant,4.3,50,Tourist Trap,0.732,
r_985586,Mamajuana Cafe The Bronx,East Bronx,Cafe,3.9,50,Universally Loved,0.838,
r_801001,McDonald's,East Bronx,Burgers,3.4,50,Under the Radar,0.497,
r_acb176,Nana's Kitchen,East Bronx,Mediterranean,4.6,50,Universally Loved,0.855,
r_67dc9b,Pine Restaurant,East Bronx,Italian,4.5,50,Universally Loved,0.884,
r_4e0ca9,Step In,East Bronx,American,4.4,50,Tourist Trap,0.765,
r_5bffb7,Wicked Wolf Bronx,East Bronx,American,4.5,50,Universally Loved,0.801,
r_290f2a,Cannelle Patisserie,East Elmhurst,Bakery,4.6,50,Universally Loved,0.903,
r_d78934,Bamboo Walk Caribbean Restaurant,East Flatbush,Veggie,4.5,50,Hidden Gem,0.856,
r_9085b5,Perch,East Harlem,Restaurant,4.7,50,Universally Loved,0.939,
r_384c47,Sisters,East Harlem,Caribbean,4.1,50,Tourist Trap,0.684,
r_82473a,Sushi W - UES,East Harlem,Japanese,4.7,50,Universally Loved,0.932,
r_f2167e,AURA Tapas & Cocktail Bar,East Village,Italian,4.9,50,Universally Loved,0.992,
r_9b4eec,Aquarelle seafood & mediterranean east village restaurant NYC,East Village,Italian,4.8,50,Hidden Gem,0.992,
r_468616,B Cup Cafe & Eatery,East Village,Mediterranean,4.5,50,Universally Loved,0.893,
r_36c840,Cafe Mogador,East Village,Restaurant,4.5,50,Universally Loved,0.831,
r_248477,Dumpling N’ Dips,East Village,Restaurant,4.8,50,Universally Loved,0.9,
r_3591ef,Dumpling Xi 喜家德水饺,East Village,Chinese,4.7,50,Hidden Gem,0.929,
r_fe68e1,Hearth,East Village,Italian,4.5,50,Tourist Trap,0.82,
r_c87be3,LOS TACOS No.1,East Village,Mexican,4.8,50,Hidden Gem,0.907,
r_fcfc92,Loong Noodles,East Village,Chinese,4.6,50,Universally Loved,0.898,
r_1c6e9d,Mamoun's Falafel,East Village,Mediterranean,4.4,50,Universally Loved,0.704,
r_06a77b,Mountain House East Village,East Village,Chinese,4.6,50,Hidden Gem,0.972,
r_237ac2,MáLà Project,East Village,Chinese,4.4,50,Universally Loved,0.919,
r_fd4f87,Nan Xiang Soup Dumplings - East Village,East Village,Restaurant,4.8,50,Hidden Gem,0.977,
r_71c31d,Plado Tasting Bar,East Village,Mediterranean,4.7,50,Universally Loved,0.909,
r_a5d692,Poppy,East Village,American,4.9,50,Universally Loved,0.926,
r_2173b5,Smør,East Village,Restaurant,4.6,50,Universally Loved,0.734,
r_7ab176,Somtum Der,East Village,Thai,4.5,50,Universally Loved,0.829,
r_b2f3e4,Soothr,East Village,Thai,4.7,50,Hidden Gem,0.966,
r_eb2591,Sushi By Bou - East Village NYC,East Village,Restaurant,4.8,30,Local Favorite,0.95,
r_1714ce,TabeTomo,East Village,Ramen,4.5,50,Tourist Trap,0.682,
r_f196fa,The Smith,East Village,American,4.4,50,Universally Loved,0.925,
r_d01dba,Thursday Kitchen,East Village,Korean,4.6,50,Universally Loved,0.899,
r_d6137b,Seichou Ramen,Elmhurst,Restaurant,4.9,50,Tourist Trap,0.906,
r_0e86da,Ohkami Ramen,Eltingville,Ramen,4.7,50,Universally Loved,0.868,
r_fe9e87,Riva Mediterranean & Turkish Cuisine,Eltingville,Restaurant,4.8,50,Hidden Gem,0.944,
r_21a876,1165 beach channel deli,Far Rockaway,Deli,4.5,50,Hidden Gem,0.723,
r_b82c7d,BEACH BREEZE DELI,Far Rockaway,Restaurant,3.7,23,Local Favorite,0.789,
r_9ca4c2,Baskin-Robbins,Far Rockaway,Dessert,3.7,38,Under the Radar,0.316,
r_f09c2f,Beach Dunes Eats & Arts,Far Rockaway,Deli,4.4,50,Universally Loved,0.788,
r_f820b8,Best Caribbean,Far Rockaway,Restaurant,4.0,50,Tourist Trap,0.529,
r_cd50b7,Buona Pizza,Far Rockaway,Pizza,3.6,50,Under the Radar,0.594,
r_f444a8,Chapines Bakery,Far Rockaway,Bakery,4.0,29,Local Favorite,0.697,
r_49a7e7,Deli grocery shef pepin,Far Rockaway,Deli,4.7,29,Local Favorite,0.978,
r_3cbe5e,Domino's Pizza,Far Rockaway,Pizza,2.9,50,Under the Radar,0.276,
r_0b8a74,El Nuevo Ambiente,Far Rockaway,Deli,4.2,50,Hidden Gem,0.852,
r_c06548,Fat Cardinal Provisions,Far Rockaway,Bakery,4.8,50,Universally Loved,0.93,
r_f5d347,Fresh Bites Deli,Far Rockaway,Deli,4.6,50,Hidden Gem,0.895,
r_b944bc,Gino's Pizzeria And Restaurant,Far Rockaway,Pizza,4.1,50,Hidden Gem,0.74,
r_e66477,Gold More Deli,Far Rockaway,Deli,4.3,50,Hidden Gem,0.837,
r_5a8d8b,HalalXtreme Grill,Far Rockaway,Mediterranean,4.7,50,Hidden Gem,0.867,
r_961ab1,Ichiban sushi and cajun harbor,Far Rockaway,Japanese,4.1,50,Universally Loved,0.775,
r_6de030,J&M Pizza,Far Rockaway,Pizza,3.4,50,Under the Radar,0.438,
r_418fde,Kelvin Grocery & Deli,Far Rockaway,Restaurant,4.4,46,Tourist Trap,0.56,
r_6350cc,La Palma,Far Rockaway,American,4.2,50,Hidden Gem,0.749,
r_159aa6,La Playa,Far Rockaway,American,4.1,50,Universally Loved,0.773,
r_846212,Las Delicias Adonai Inc,Far Rockaway,Mexican,4.4,37,Local Favorite,0.774,
r_2a550e,Los Latinos Mini Market Corp.,Far Rockaway,Deli,3.5,24,Local Favorite,0.343,
r_aa4d95,Lucky Cornaga,Far Rockaway,Chinese,3.6,50,Hidden Gem,0.685,
r_b519f9,Oasis,Far Rockaway,Ramen,4.7,50,Tourist Trap,0.844,
r_63fab3,Quick Pizza,Far Rockaway,Pizza,4.3,50,Hidden Gem,0.82,
r_953cdf,Rockaway Beach Club,Far Rockaway,Restaurant,4.5,50,Universally Loved,0.823,
r_9ee78f,Rockaway Beach Surf Club,Far Rockaway,Restaurant,4.6,50,Universally Loved,0.923,
r_160c69,Rockaway Express Deli & Grocery,Far Rockaway,Deli,4.3,50,Hidden Gem,0.839,
r_c28532,Rockaway Kosher Supermarket,Far Rockaway,Restaurant,4.6,50,Hidden Gem,0.855,
r_0cfb8a,Rohan Deli,Far Rockaway,Deli,4.3,50,Under the Radar,0.44,
r_91eaeb,SIMILAN ON THE BAY,Far Rockaway,Thai,4.9,50,Hidden Gem,0.914,
r_6c44f3,Sal y Lima,Far Rockaway,Mexican,4.4,50,Universally Loved,0.842,
r_4787c9,Sayra's Wine Bar,Far Rockaway,Restaurant,4.4,50,Universally Loved,0.816,
r_8fcc59,Seagirt Market & Deli,Far Rockaway,Restaurant,3.8,48,Hidden Gem,0.578,
r_cd0426,Shop Fair of Wavecrest,Far Rockaway,Restaurant,3.8,50,Under the Radar,0.391,
r_8ad3ca,Subway,Far Rockaway,Deli,3.3,50,Under the Radar,0.422,
r_29923d,Sunny,Far Rockaway,Japanese,4.2,50,Hidden Gem,0.87,
r_08d4b1,Taco Bell,Far Rockaway,Mexican,3.5,50,Under the Radar,0.466,
r_f3659c,Tacos Y Mas,Far Rockaway,Mexican,4.0,50,Hidden Gem,0.686,
r_6d5955,Taqueria Los Carnales & Coffee shop,Far Rockaway,Mexican,4.3,50,Hidden Gem,0.825,
r_ae3509,Valencia Flowers Inc.,Far Rockaway,Bakery,3.9,50,Hidden Gem,0.724,
r_e73a7f,Aroydee Thai Kitchen,Financial District,Thai,4.7,50,Universally Loved,0.97,
r_768875,Blue Ribbon Sushi Bar & Grill - Financial District,Financial District,Japanese,4.5,50,Tourist Trap,0.67,
r_fe322e,Imm Thai NYC,Financial District,Thai,4.6,50,Hidden Gem,0.939,
r_c3c22d,Mei Lai Wah | Wonton Noodle Garden,Financial District,Chinese,4.3,50,Tourist Trap,0.805,
r_cbdd32,Mikado Sushi,Financial District,Japanese,4.7,50,Universally Loved,0.83,
r_bd8f8d,Otani,Financial District,Japanese,4.7,50,Universally Loved,0.887,
r_4fef24,SUteiShi Japanese Restaurant,Financial District,Japanese,4.6,50,Universally Loved,0.95,
r_78300a,Sushi & Co,Financial District,Japanese,4.6,50,Universally Loved,0.916,
r_df767e,Dumpling Xi,Flushing,Restaurant,4.7,50,Universally Loved,0.882,
r_892c2a,Falafel Bites,Flushing,Mediterranean,4.9,50,Universally Loved,0.971,
r_c7d735,Hanami Ramen,Flushing,Ramen,4.9,50,Tourist Trap,0.926,
r_345d97,Handmade Dumpling,Flushing,Restaurant,4.8,22,Local Favorite,0.756,
r_6afdee,Hongdae Korean restaurant,Flushing,Korean,4.8,50,Hidden Gem,0.97,
r_5fff33,JeunJu Korean Restaurant 전주식당 | 전주할매칼국수 - Authentic Korean home style food,Flushing,Korean,4.7,50,Universally Loved,0.973,
r_0de520,Jungme Gukbop - Korean Pork bone soup restaurant,Flushing,Korean,4.7,50,Universally Loved,0.904,
r_cf7537,"KTown Octopus House 낙지하우스 ㅣKorean restaurant, Korean Spicy Seafood",Flushing,Korean,4.6,50,Universally Loved,0.807,
r_6c981e,Maspeth Deli & Grill,Flushing,Deli,4.5,50,Hidden Gem,0.864,
r_cd6c16,Noodle valley,Flushing,Chinese,5.0,50,Hidden Gem,1.0,
r_75fdc2,ShiMiaoDao Yunnan Rice Noodles 十秒到（云南）过桥米线,Flushing,Chinese,4.7,50,Universally Loved,0.883,
r_df46dc,The Original Famous Pita & Falafel Tanami,Flushing,Restaurant,4.9,35,Local Favorite,0.981,
r_d28301,When in Bangkok,Flushing,Thai,4.8,50,Tourist Trap,0.762,
r_c0e50d,Yasubee Authentic Ramen,Flushing,Japanese,4.6,50,Universally Loved,0.858,
r_b3337c,토속촌,Flushing,Korean,4.8,50,Hidden Gem,0.927,
r_5a381c,Bobo's Crab Shack (Fordham),Fordham Heights,Seafood,4.6,50,Hidden Gem,0.982,
r_30c3bc,Elsa La Reina Del Chicharron,Fordham Heights,Restaurant,4.3,50,Universally Loved,0.825,
r_e7ab42,Fordham Cachapas Deli,Fordham Heights,Deli,4.5,50,Hidden Gem,0.922,
r_389ffa,Fordham Fried Chicken & Seafood Inc.,Fordham Heights,Seafood,4.3,50,Universally Loved,0.672,
r_04122d,Fordham Fried Seafood & Chicken,Fordham Heights,Seafood,4.5,50,Universally Loved,0.88,
r_10c8fd,Grub House,Fordham Heights,Restaurant,4.9,50,Hidden Gem,0.96,
r_cb940c,Lulo,Fordham Heights,Deli,4.2,50,Under the Radar,0.638,
r_df4961,Nuevo Three Way Restaurant,Fordham Heights,Deli,4.0,50,Under the Radar,0.577,
r_394aa2,Birria Landia,Fordham Manor,Mexican,4.5,50,Universally Loved,0.873,
r_94f80f,Chick-fil-A,Fordham Manor,Deli,4.6,50,Hidden Gem,0.898,
r_a65acd,North Star Cafe - Fordham,Fordham Manor,Burgers,4.1,50,Universally Loved,0.756,
r_9d10c1,Kuku Korean Cuisine Forest Hills,Forest Hills,Korean,4.5,50,Universally Loved,0.817,
r_fb69c2,Local Hops,Forest Hills,Burgers,4.7,50,Tourist Trap,0.836,
